text,datetime,time_text
I dont see anything wrong with this article. Coba kalian baca dlu isinya sebelum ngehate,2025-09-16T11:08:40.000Z,16 Sep
"Lahh, sitiba tiba jadi kolektif tuh. Wkwkwkw kelas menegah ngehek dan influencer kontol",2025-09-15T13:21:20.000Z,15 Sep
"Ini lah kenapa dr kmrn gw kritisi. Tiba2 mereka muncul seperti pahlawan, jadi cover suatu majalah, berasa dia dan kawan2nya yang paling speak up dibanding teman2 yang lain.   Harusnya dia nolak dijadiin cover, kontribusinya masih kecil, tuntutan blm berhasil uda dijadikan cover.",2025-09-16T15:20:03.000Z,16 Sep
the next tsamara,2025-09-15T13:27:27.000Z,15 Sep
lah kocak anying penggagas macam apa yg beda pendapat doang dia kabur awkwk terus gimana mau denger suara2 marjinal & grassroot(?),2025-09-15T12:45:54.000Z,15 Sep
Ngomong sama botol,2025-09-15T08:57:39.000Z,15 Sep
"Sebenernya w msh lom paham dh, kenapa banyk yg g suka. Sebenernya mau kyk gimna (selain 17+8tuntutan) n bagaimana. Dan apa pd berharap & berekspetasi tinggi ke influencer ini bisa merombak sistem pemerintahan?",2025-09-15T17:29:53.000Z,16 Sep
"Jangka panjang, tau2 pada foto2 sama Bunted & Gibran",2025-09-15T09:23:32.000Z,15 Sep
Rezim suka melihat keributan ini,2025-09-15T23:45:25.000Z,16 Sep
Kita harus menunjukkan bahwa rakyat masih tak bisa di bodohi,2025-09-14T01:33:05.000Z,14 Sep
no lokataru?,2025-09-15T19:04:37.000Z,16 Sep
Bisikan Budiman Sudjatmiko,2025-09-16T00:02:04.000Z,16 Sep
"saya cuma mau sampaikan, hati hati:",2025-09-16T05:53:38.000Z,16 Sep
"terlalu jahat ma orang baik, terlalu baik ma orang jahat",2025-09-16T17:53:00.000Z,17 Sep
You're repeating another Jokowi,2025-09-15T22:00:04.000Z,16 Sep
@efekrumahnenek  sekarang siapa intelnya,2025-09-15T12:24:54.000Z,15 Sep
Ga kreatif ke Nepal,2025-09-14T05:42:49.000Z,14 Sep
@BocorAlusPol  serius pake cover doi yang lagi deact akun? Kasian juga keknya malah bikin diserang wkwk,2025-09-15T11:07:11.000Z,15 Sep
"tuntutan apa wishlist? g ngakar. . pertanyaan besarny itu ""kenapa yg duduk di kursi dpr dn pemerintahan orang2 g kompeten?"" triaspolitika tp elit partai jd eksekutif, legislator kader partainya, jongos disuruh ngawasin tuannya",2025-09-15T18:17:35.000Z,16 Sep
Tidak perlu penokohan tempo,2025-09-15T22:12:13.000Z,16 Sep
Lagian tuntutan udh kyk visi misi,2025-09-16T05:18:18.000Z,16 Sep
"Tolong tempo, lo blunder",2025-09-16T04:09:12.000Z,16 Sep
aku harap ni orang dipanggil buat bicara ke publik,2025-09-15T13:52:57.000Z,15 Sep
"Semangatin aja itu orang-orang yang nulis, tapi ku gak ikutan",2025-09-15T23:16:02.000Z,16 Sep
"Siapa yg punya aspirasi dan turun ke jalan, siapa yg tampil sebagai pemenang di akhir karena membajak aspirasi",2025-09-16T17:50:48.000Z,17 Sep
Itu ilustrasi gambar siapa dah? Budhe Sri Mulyani?,2025-09-15T07:17:28.000Z,15 Sep
"Usulan tak guna, tak menyentuh sumber masalah, tak ada usulan utama Pemakzulan Gibran dan Adili Jokowi",2025-09-15T12:23:57.000Z,15 Sep
woi tempo kenapa dia yg di up ?,2025-09-15T12:19:21.000Z,15 Sep
oportunis lahir pada semua generasi.,2025-09-16T07:56:19.000Z,16 Sep
siapa ini orang gw gk tau rekam jejaknya,2025-09-15T08:54:28.000Z,15 Sep
Jangka panjang rawan hilang menguap dan terlupakan,2025-09-15T07:16:10.000Z,15 Sep
@grok  kenapa  @afutami  tutup account?,2025-09-16T16:33:32.000Z,16 Sep
Itu siapa dah?,2025-09-16T06:26:52.000Z,16 Sep
